;sp1;sp2;sp1_inc;sp2_inc;obs_cooccur;prob_cooccur;exp_cooccur;p_lt;p_gt;Negative_association;Positive_association;sp1_name;sp2_name;Experimento
114;4;7;7;30;6;0.043;3;0.9983;0.02151;0;1;Panthera.leo;Crocuta.crocuta;2
115;4;8;7;41;6;0.059;4.1;0.98125;0.12753;0;0;Panthera.leo;Canis.lupus;2
116;4;9;7;42;5;0.06;4.2;0.85497;0.41327;0;0;Panthera.leo;Vulpes.vulpes;2
117;4;10;7;2;0;0.003;0.2;0.8087;1;0;0;Panthera.leo;Vulpes.lagopus;2
118;4;11;7;11;1;0.016;1.1;0.69803;0.71542;0;0;Panthera.leo;Meles.meles;2
119;4;12;7;52;3;0.074;5.2;0.06672;0.98969;0;0;Panthera.leo;Homo_neand;2
120;4;13;7;2;0;0.003;0.2;0.8087;1;0;0;Panthera.leo;Homo.sapiens;2
121;5;6;11;10;5;0.022;1.6;0.99944;0.00639;0;1;Panthera.pardus;Felis.silvestris;2
122;5;7;11;30;7;0.067;4.7;0.96754;0.11844;0;0;Panthera.pardus;Crocuta.crocuta;2
123;5;8;11;41;7;0.092;6.4;0.75643;0.49034;0;0;Panthera.pardus;Canis.lupus;2
124;5;9;11;42;7;0.094;6.6;0.72239;0.53288;0;0;Panthera.pardus;Vulpes.vulpes;2
125;5;10;11;2;0;0.004;0.3;0.70849;1;0;0;Panthera.pardus;Vulpes.lagopus;2
126;5;11;11;11;1;0.025;1.7;0.44873;0.87066;0;0;Panthera.pardus;Meles.meles;2
127;5;12;11;52;10;0.117;8.2;0.97208;0.15951;0;0;Panthera.pardus;Homo_neand;2
128;5;13;11;2;0;0.004;0.3;0.70849;1;0;0;Panthera.pardus;Homo.sapiens;2
129;6;7;10;30;5;0.061;4.3;0.79948;0.43689;0;0;Felis.silvestris;Crocuta.crocuta;2
130;6;8;10;41;7;0.084;5.9;0.87378;0.3333;0;0;Felis.silvestris;Canis.lupus;2
131;6;9;10;42;9;0.086;6;0.99629;0.03518;0;1;Felis.silvestris;Vulpes.vulpes;2
132;6;10;10;2;0;0.004;0.3;0.73292;1;0;0;Felis.silvestris;Vulpes.lagopus;2
133;6;11;10;11;3;0.022;1.6;0.95613;0.18576;0;0;Felis.silvestris;Meles.meles;2
134;6;12;10;52;8;0.106;7.4;0.79319;0.49705;0;0;Felis.silvestris;Homo_neand;2
135;6;13;10;2;0;0.004;0.3;0.73292;1;0;0;Felis.silvestris;Homo.sapiens;2
136;7;8;30;41;23;0.251;17.6;0.99845;0.00725;0;1;Crocuta.crocuta;Canis.lupus;2
137;7;9;30;42;19;0.257;18;0.76967;0.40367;0;0;Crocuta.crocuta;Vulpes.vulpes;2
138;7;10;30;2;1;0.012;0.9;0.81988;0.67702;0;0;Crocuta.crocuta;Vulpes.lagopus;2
139;7;11;30;11;4;0.067;4.7;0.44821;0.78791;0;0;Crocuta.crocuta;Meles.meles;2
140;7;12;30;52;20;0.318;22.3;0.16187;0.93774;0;0;Crocuta.crocuta;Homo_neand;2
141;7;13;30;2;2;0.012;0.9;1;0.18012;0;0;Crocuta.crocuta;Homo.sapiens;2
142;8;9;41;42;29;0.351;24.6;0.99246;0.02671;0;1;Canis.lupus;Vulpes.vulpes;2
143;8;10;41;2;1;0.017;1.2;0.66046;0.83188;0;0;Canis.lupus;Vulpes.lagopus;2
144;8;11;41;11;10;0.092;6.4;0.99854;0.01649;0;1;Canis.lupus;Meles.meles;2
145;8;12;41;52;26;0.435;30.5;0.01199;0.998;1;0;Canis.lupus;Homo_neand;2
146;8;13;41;2;1;0.017;1.2;0.66046;0.83188;0;0;Canis.lupus;Homo.sapiens;2
147;9;10;42;2;1;0.017;1.2;0.64348;0.84348;0;0;Vulpes.vulpes;Vulpes.lagopus;2
148;9;11;42;11;9;0.094;6.6;0.97898;0.09891;0;0;Vulpes.vulpes;Meles.meles;2
149;9;12;42;52;31;0.446;31.2;0.56985;0.64865;0;0;Vulpes.vulpes;Homo_neand;2
150;9;13;42;2;1;0.017;1.2;0.64348;0.84348;0;0;Vulpes.vulpes;Homo.sapiens;2
151;10;11;2;11;0;0.004;0.3;0.70849;1;0;0;Vulpes.lagopus;Meles.meles;2
152;10;12;2;52;0;0.021;1.5;0.06335;1;0;0;Vulpes.lagopus;Homo_neand;2
153;10;13;2;2;0;0.001;0.1;0.94327;1;0;0;Vulpes.lagopus;Homo.sapiens;2
154;11;12;11;52;9;0.117;8.2;0.84049;0.41965;0;0;Meles.meles;Homo_neand;2
155;11;13;11;2;0;0.004;0.3;0.70849;1;0;0;Meles.meles;Homo.sapiens;2
156;12;13;52;2;0;0.021;1.5;0.06335;1;0;0;Homo_neand;Homo.sapiens;2
157;1;2;18;31;8;0.114;8;0.616;0.60021;0;0;Ursus.arctos;Ursus.spelaeus;3
158;1;3;18;7;3;0.026;1.8;0.93328;0.251;0;0;Ursus.arctos;Panthera.spelaea;3
159;1;4;18;6;2;0.022;1.5;0.82797;0.48794;0;0;Ursus.arctos;Panthera.leo;3
160;1;5;18;12;3;0.044;3.1;0.63129;0.65089;0;0;Ursus.arctos;Panthera.pardus;3
161;1;6;18;10;5;0.037;2.6;0.98541;0.07073;0;0;Ursus.arctos;Felis.silvestris;3
