;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Canis.lupus6;0.982924635;0.990614385;0.965713251;0.970627964;0.910032102;0.984272263;0;0.921467944;0.990121382;0.92795063;0.815637463;0.957667356;0.988027244;33
Meles.meles6;0.90814432;0.93559854;0.938420728;0.954142385;0.948660623;0.919261605;0.921467944;0;0.915112253;0.956179654;0.917884744;0.960443299;0.934675567;33
Vulpes.vulpes6;0.975459815;0.989300395;0.948470861;0.951908184;0.926969591;0.982321026;0.990121382;0.915112253;0;0.907793619;0.819321792;0.965549851;0.983960316;33
Vulpes.lagopus6;0.909750337;0.934284073;0.947262545;0.968884619;0.910886293;0.923352588;0.92795063;0.956179654;0.907793619;0;0.885593151;0.934933501;0.939359585;33
Felis.silvestris6;0.789827699;0.842660842;0.852767572;0.869630786;0.937142776;0.81378554;0.815637463;0.917884744;0.819321792;0.885593151;0;0.894397641;0.841529806;33
Homo_neand6;0.946876205;0.966952708;0.94905786;0.957003454;0.970249701;0.966321019;0.957667356;0.960443299;0.965549851;0.934933501;0.894397641;0;0.970164675;33
Homo.sapiens6;0.96675135;0.985121671;0.963659391;0.97122493;0.93164512;0.981108558;0.988027244;0.934675567;0.983960316;0.939359585;0.841529806;0.970164675;0;33
Ursus.spelaeus7;0;0.974120148;0.959542605;0.957730638;0.892773899;0.976623686;0.982713997;0.908586439;0.975395336;0.909286436;0.790650639;0.947008982;0.967867134;34
Ursus.arctos7;0.974120148;0;0.963515389;0.968843139;0.930814519;0.985046821;0.990611478;0.935537109;0.989190797;0.933767182;0.842759807;0.966803068;0.985733319;34
Panthera.spelaea7;0.959542605;0.963515389;0;0.976572123;0.904597543;0.954473437;0.964969061;0.940421419;0.947854843;0.947502023;0.856009847;0.949748506;0.962501311;34
Panthera.leo7;0.957730638;0.968843139;0.976572123;0;0.927043441;0.96202305;0.97034093;0.954313;0.951709307;0.968613871;0.870344493;0.956936533;0.970705414;34
Panthera.pardus7;0.892773899;0.930814519;0.904597543;0.927043441;0;0.921804176;0.910077373;0.947953702;0.925961948;0.911260867;0.936662997;0.970113331;0.932031204;34
